name,total_population,white_alone,black_alone,asian_alone,two_or_more_races,hispanic_latino,german,irish,english,mexican,indian,chinese,vietnamese,french,italian,korean,place_fips,year,city,county,county_fips,all_counties,latitude,longitude,coordinates,distance_from_dallas
"Addison town, Texas",14315,10188,1720,649,179,4973,0,0,38,9,310,28,0,0,13,213,1240,2009,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",13146,9649,1304,710,211,4274,0,0,47,5,134,66,0,0,10,83,1240,2010,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",13145,9736,1475,699,174,3967,0,0,28,9,136,62,0,0,11,0,1240,2011,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",13643,9772,1523,988,149,4010,0,0,36,0,126,91,0,0,16,0,1240,2012,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",14114,10259,1792,998,248,3900,0,0,51,0,18,76,0,0,0,30,1240,2013,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",14594,10563,1444,1331,364,3686,0,0,33,10,16,114,0,0,16,28,1240,2014,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",15087,10038,1668,1521,577,3480,0,0,82,47,0,31,0,0,52,26,1240,2015,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",15363,9593,1698,1660,942,3228,0,0,87,61,0,49,0,0,56,26,1240,2016,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",15455,8778,1685,1866,1137,3552,0,17,90,74,0,51,0,0,53,24,1240,2017,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",15626,8803,1981,1754,1238,3641,0,26,93,99,0,92,0,0,70,24,1240,2018,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",15302,8535,2153,1581,1206,3760,0,27,87,85,0,51,0,0,47,24,1240,2019,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",15428,9085,2006,1480,1512,3930,0,40,17,43,0,53,0,0,16,149,1240,2020,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",16405,9413,2682,1453,1436,4127,0,46,21,47,0,53,0,0,19,185,1240,2021,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Addison town, Texas",17026,9585,2949,1226,1978,4597,0,7,27,37,0,70,0,44,20,202,1240,2022,Addison town,Dallas,113,Dallas,32.9637444,-96.8338049,"(+32.9637444, -096.8338049)",13.1
"Balch Springs city, Texas",19759,13677,4024,173,261,7439,0,0,0,0,0,21,0,0,0,56,5372,2009,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",22776,15675,5150,111,418,9430,0,0,0,0,0,59,0,0,0,147,5372,2010,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",23270,16048,4959,90,471,10760,0,0,0,0,0,22,0,0,0,143,5372,2011,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",23853,15597,5980,65,557,10968,0,0,0,0,0,0,0,0,0,171,5372,2012,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",24294,16230,5822,49,630,12134,0,0,0,0,0,0,0,0,0,213,5372,2013,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",24693,16582,5584,49,691,13335,0,0,0,0,0,0,0,0,0,183,5372,2014,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",24948,16893,5789,78,563,13855,0,0,0,0,0,0,0,0,0,231,5372,2015,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",25043,17317,5740,146,441,14084,0,0,0,0,0,0,0,0,0,209,5372,2016,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",25236,18085,5511,214,311,14846,0,0,0,0,0,0,0,0,0,233,5372,2017,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",25312,17863,5820,269,213,14189,0,0,0,0,0,0,0,0,0,184,5372,2018,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",25190,17891,5850,265,151,14363,0,0,0,0,0,0,0,0,0,176,5372,2019,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",25123,14770,6925,421,1572,13059,0,0,0,0,0,0,0,0,0,126,5372,2020,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",27369,13573,7303,159,3571,15544,0,0,0,0,0,0,0,0,0,250,5372,2021,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Balch Springs city, Texas",27322,10677,7969,20,5244,14781,0,0,0,0,0,0,0,0,0,331,5372,2022,Balch Springs city,Dallas,113,Dallas,32.7139038,-96.618062,"(+32.7139038, -096.6180620)",11.3
"Carrollton city, Texas",123620,90318,8766,14908,2373,34797,0,0,234,148,65,10,0,14,198,12,13024,2009,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",117712,83507,10477,15301,2631,32858,0,0,245,148,95,10,0,45,192,88,13024,2010,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",119104,83878,10515,15482,3155,34701,0,0,247,137,112,14,0,46,137,38,13024,2011,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",120727,85529,10836,15396,3689,35783,0,0,156,107,89,12,0,45,160,50,13024,2012,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",122613,83557,11512,17186,3771,38176,0,34,187,138,72,17,0,53,184,40,13024,2013,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",124501,85696,11267,17348,3537,40314,0,32,224,183,151,39,0,89,185,36,13024,2014,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",127279,88698,10410,18309,3421,41498,0,32,204,109,139,29,0,30,194,9,13024,2015,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",129266,89294,10845,19235,3372,41655,0,33,206,119,151,33,0,32,142,30,13024,2016,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",131240,90912,12183,19031,3141,43912,0,27,186,130,143,174,0,28,123,22,13024,2017,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",133438,93472,13304,19190,3155,44077,0,0,166,251,204,181,0,62,100,296,13024,2018,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",135834,93724,13716,20504,3512,44413,0,0,135,241,187,116,0,51,107,401,13024,2019,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",137319,88903,13719,20804,8805,44654,0,0,120,540,132,163,0,42,100,419,13024,2020,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",131388,81181,12886,20129,11625,43116,0,0,87,509,163,107,0,47,89,553,13024,2021,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Carrollton city, Texas",132284,75800,13235,20473,15813,42191,0,0,96,563,449,30,0,50,64,594,13024,2022,Carrollton city,Dallas,113,"Dallas, Collin, Denton",32.9893856,-96.8999404,"(+32.9893856, -096.8999404)",15.9
"Cedar Hill city, Texas",43298,17198,20148,1397,1203,6546,0,0,26,47,0,0,0,0,0,221,13492,2009,Cedar Hill city,Dallas,113,"Dallas, Ellis",32.5843263,-96.9588978,"(+32.5843263, -096.9588978)",16.3
