place_fips,place_name,latitude,longitude,coordinates
14584,Chester,30.9213186,-94.6000961,"(+30.9213186, -094.6000961)"
5720,Barstow,31.4615446,-103.3955031,"(+31.4615446, -103.3955031)"
59996,Pyote,31.5380659,-103.1224834,"(+31.5380659, -103.1224834)"
16552,Coolidge,31.751448,-96.65222,"(+31.7514480, -096.6522200)"
39844,Kosse,31.3074256,-96.6294896,"(+31.3074256, -096.6294896)"
47916,Mexia,31.6806926,-96.4832028,"(+31.6806926, -096.4832028)"
72080,Tehuacana,31.7431765,-96.5401987,"(+31.7431765, -096.5401987)"
58040,Plantersville,30.3342884,-95.8641396,"(+30.3342884, -095.8641396)"
80212,Woodville,30.7744326,-94.4224535,"(+30.7744326, -094.4224535)"
74588,Uvalde,29.2151835,-99.7772147,"(+29.2151835, -099.7772147)"
55056,Paradise,33.1497712,-97.6886145,"(+33.1497712, -097.6886145)"
34676,Hondo,29.3542424,-99.1618457,"(+29.3542424, -099.1618457)"
40108,LaCoste,29.3099773,-98.8110998,"(+29.3099773, -098.8110998)"
50400,Natalia,29.1854666,-98.8520544,"(+29.1854666, -098.8520544)"
10828,Bruceville-Eddy,31.3080052,-97.2573853,"(+31.3080052, -097.2573853)"
44176,Lott,31.2062569,-97.0335758,"(+31.2062569, -097.0335758)"
2284,Alvord,33.356968,-97.6960256,"(+33.3569680, -097.6960256)"
4672,Aurora,33.0559424,-97.5096152,"(+33.0559424, -097.5096152)"
14620,Chico,33.2960561,-97.7986048,"(+33.2960561, -097.7986048)"
19528,Decatur,33.225899,-97.5870397,"(+33.2258990, -097.5870397)"
40450,Lake Bridgeport,33.2072786,-97.8309883,"(+33.2072786, -097.8309883)"
50920,New Fairview,33.1090959,-97.4345801,"(+33.1090959, -097.4345801)"
9748,Boyd,33.084347,-97.5632084,"(+33.0843470, -097.5632084)"
3084,Amherst,34.0119819,-102.4147756,"(+34.0119819, -102.4147756)"
11368,Burkburnett,34.0746253,-98.5674918,"(+34.0746253, -098.5674918)"
74132,Tye,32.452218,-99.8665373,"(+32.4522180, -099.8665373)"
31880,Hallsburg,31.5362962,-96.9456941,"(+31.5362962, -096.9456941)"
40588,Lake Jackson,29.0508635,-95.4512295,"(+29.0508635, -095.4512295)"
37984,Jones Creek,28.974996,-95.4685055,"(+28.9749960, -095.4685055)"
3264,Angleton,29.1717742,-95.4293113,"(+29.1717742, -095.4293113)"
27420,Freeport,28.9432964,-95.3560696,"(+28.9432964, -095.3560696)"
46500,Manvel,29.4854223,-95.3623217,"(+29.4854223, -095.3623217)"
68978,South Frydek,29.7351509,-96.0769373,"(+29.7351509, -096.0769373)"
30116,Gonzales,29.512549,-97.4472047,"(+29.5125490, -097.4472047)"
36092,Iowa Colony,29.4410927,-95.4237538,"(+29.4410927, -095.4237538)"
15652,Clute,29.0258506,-95.3982294,"(+29.0258506, -095.3982294)"
8536,Blanco,30.0985938,-98.4171059,"(+30.0985938, -098.4171059)"
70406,Stockton Bend,32.4791382,-97.7639213,"(+32.4791382, -097.7639213)"
42028,Leary,33.4670329,-94.2112689,"(+33.4670329, -094.2112689)"
61340,Redwater,33.3583425,-94.2561652,"(+33.3583425, -094.2561652)"
67268,Shavano Park,29.5844482,-98.5561788,"(+29.5844482, -098.5561788)"
11716,Caddo Mills,33.0745423,-96.226922,"(+33.0745423, -096.2269220)"
64172,St. Hedwig,29.420216,-98.2069713,"(+29.4202160, -098.2069713)"
27660,Friona,34.6394323,-102.7230655,"(+34.6394323, -102.7230655)"
18260,Cut and Shoot,30.335475,-95.3450538,"(+30.3354750, -095.3450538)"
2272,Alvin,29.424772,-95.2244323,"(+29.4247720, -095.2244323)"
